Ward,Borough,Life Expectancy 2005-2009,Life Expectancy 2006-2010,Life Expectancy 2007-11,Life Expectancy 2008-12,Life Expectancy 2009-13,Childhood Obesity 2009,Childhood Obesity 2010,Childhood Obesity 2011,Childhood Obesity 2012,Childhood Obesity 2013,GCSE point scores - 2009,GCSE point scores - 2010,GCSE point scores - 2011,GCSE point scores - 2012,GCSE point scores - 2013,Unauthorised Absence in All Schools (%) - 2009,Unauthorised Absence in All Schools (%) - 2010,Unauthorised Absence in All Schools (%) - 2011,Unauthorised Absence in All Schools (%) - 2012,Unauthorised Absence in All Schools (%) - 2013,% dependent children in out-of-work households - 2009,% dependent children in out-of-work households - 2010,% dependent children in out-of-work households - 2011,% dependent children in out-of-work households - 2012,% dependent children in out-of-work households - 2013,Public Transport Accessibility - 2009,Public Transport Accessibility - 2010,Public Transport Accessibility - 2011,Public Transport Accessibility - 2012,Public Transport Accessibility - 2013,"Homes with access to open space & nature, and % greenspace - 2009","Homes with access to open space & nature, and % greenspace - 2010","Homes with access to open space & nature, and % greenspace - 2011","Homes with access to open space & nature, and % greenspace - 2012","Homes with access to open space & nature, and % greenspace - 2013","Subjective well-being average score, 2011/12 and 2012/13","Subjective well-being average score, 2011/12 and 2012/13","Subjective well-being average score, 2011/12 and 2012/13","Subjective well-being average score, 2011/12 and 2012/13","Subjective well-being average score, 2013",,,
Ravenscourt Park,Hammersmith and Fulham,80.5,79.9,79.2,79.3,79.5,22.4,22.4,22.4,20.4,16.4,321,346,352,371,361,1.1,1.05,1.39,1.04,1.13,28,27,23,21,18,4.2,4.2,4.2,4.2,4,-4.2,-4.2,-4.2,-4.2,-4.2,7.9,7.9,7.9,7.9,7.9,,,
Sands End,Hammersmith and Fulham,80.1,80.9,81,81.2,82.4,21.9,21.9,21.9,25.4,26.5,321,334,354,347,351,1.59,1.62,1.75,1.09,1.19,37,31,29,25,23,3,3,3,3.1,3.4,1.6,1.6,1.6,1.6,1.6,8.2,8.2,8.2,8.2,7.7,,,
Shepherd's Bush Green,Hammersmith and Fulham,78.7,79.2,79.9,79.7,79.8,19.4,19.4,19.4,22.3,21,352,353,351,355,354,1.18,0.95,1.15,1.11,1.02,39,39,34,28,24,5.6,5.6,5.6,5.6,5.6,2.8,2.8,2.8,2.8,2.8,7.7,7.7,7.7,7.7,7.9,,,
Town,Hammersmith and Fulham,81.2,81.7,82,83.7,84.3,23.8,23.8,23.8,23.3,24.3,346,327,361,359,331,1.44,1.4,1.41,1.01,1.35,27,22,20,17,17,4.6,4.6,4.8,5.1,4.6,-7.7,-7.7,-7.7,-7.7,-7.7,8.2,8.2,8.2,8.2,7.7,,,
Wormholt and White City,Hammersmith and Fulham,80.6,81.1,81.4,81.6,82.6,26.5,26.5,26.5,28.4,28.2,346,356,347,333,323,1.46,1.3,1.52,1.38,1.34,49,45,44,39,35,3.1,3.1,3.1,3.1,3.2,1.9,1.9,1.9,1.9,1.9,7.9,7.9,7.9,7.9,7.9,,,
Bedfont,Hounslow,79.8,79.6,79.7,79.8,79.5,23.3,23.3,23.3,23.4,24.6,309,327,332,346,336,1.54,1.57,1.48,1.28,1.45,30,25,23,23,22,1.9,1.9,2,2.1,2.1,5.8,5.8,5.8,5.8,5.8,7.5,7.5,7.5,7.5,7.5,,,
Brentford,Hounslow,80.7,81.6,81.9,82.5,82.6,21.1,21.1,21.1,21.6,23.5,322,342,354,353,346,1.08,1.04,1.11,0.8,0.96,32,29,27,25,23,3.1,3.1,3.2,3.2,3.2,6,6,6,6,6,7.4,7.4,7.4,7.4,7.7,,,
Chiswick Homefields,Hounslow,80.7,81.2,82.1,82.7,83,16,16,16,17.1,20.3,349,357,362,369,382,0.61,0.44,0.69,0.59,0.55,15,12,11,10,9,3.5,3.5,3.6,3.8,3.6,10.4,10.4,10.4,10.4,10.4,7.8,7.8,7.8,7.8,7.7,,,
Chiswick Riverside,Hounslow,82.2,83.4,84.6,83.8,84.7,21.3,21.3,21.3,22.5,16.7,332,370,376,370,361,0.89,0.78,0.78,0.67,0.64,15,14,12,11,10,2.9,2.9,2.9,2.9,2.8,3.7,3.7,3.7,3.7,3.7,7.2,7.2,7.2,7.2,7.7,,,
Cranford,Hounslow,79.6,79.6,79.9,80.7,81.5,23.1,23.1,23.1,25.9,25.8,320,339,353,358,351,1.52,1.68,1.34,1.32,1.26,29,28,27,26,23,2.4,2.4,2.4,2.4,2.4,-2.1,-2.1,-2.1,-2.1,-2.1,7.1,7.1,7.1,7.1,7.5,,,
Feltham North,Hounslow,76.8,77.5,77.1,77.3,77.3,25.9,25.9,25.9,23.8,27.5,324,338,338,349,343,1.15,1.46,1.45,1.11,1.27,27,21,21,21,21,2.8,2.8,2.9,3,2.9,5.2,5.2,5.2,5.2,5.2,7.5,7.5,7.5,7.5,7.5,,,
Feltham West,Hounslow,79.4,80.5,81.1,81.9,82.4,25.1,25.1,25.1,26.2,25.6,312,326,331,333,331,1.34,1.56,1.62,1.26,1.34,31,25,22,22,19,2.2,2.2,2.2,2.3,2.4,2.5,2.5,2.5,2.5,2.5,7.3,7.3,7.3,7.3,7.5,,,
Hanworth,Hounslow,80.4,80.8,81.8,81.7,82.1,22.5,22.5,22.5,24.5,26.6,283,329,333,320,331,1.6,1.57,1.68,1.27,1.48,36,30,27,27,26,2.4,2.4,2.5,2.6,2.6,7.5,7.5,7.5,7.5,7.5,7.7,7.7,7.7,7.7,7.5,,,
Hanworth Park,Hounslow,79.1,79.7,80.9,80.7,81.3,22.1,22.1,22.1,24.4,25.4,315,339,335,338,325,1.38,1.54,1.44,1.02,1.12,27,21,21,20,18,2.4,2.4,2.4,2.5,2.6,6.7,6.7,6.7,6.7,6.7,7.2,7.2,7.2,7.2,7.5,,,
Heston Central,Hounslow,79,79.5,80.4,80.4,80.7,22.7,22.7,22.7,24.6,27.2,339,354,367,351,345,1.28,1.19,1.34,1.14,1.28,26,23,21,19,16,2.8,2.8,2.9,2.9,2.9,0.4,0.4,0.4,0.4,0.4,7.3,7.3,7.3,7.3,7.5,,,
Heston East,Hounslow,84.3,85.4,84.2,83.9,83.4,25,25,25,24,23.5,360,352,351,358,356,1.16,0.99,1.28,1,1.03,28,25,20,21,19,2.2,2.2,2.3,2.4,2.3,6.1,6.1,6.1,6.1,6.1,7.3,7.3,7.3,7.3,7.5,,,
Heston West,Hounslow,81.1,80.7,80.6,81.5,81.6,27.5,27.5,27.5,27.1,26.7,334,339,352,360,347,1.67,1.48,1.57,1.18,1.17,33,31,31,28,22,2.1,2.1,2.2,2.3,2.3,4,4,4,4,4,7.2,7.2,7.2,7.2,7.5,,,
Hounslow Central,Hounslow,82.1,82.2,82.6,83.4,83,22.1,22.1,22.1,19.8,20.4,347,355,346,360,362,1.34,1.41,1.27,1.01,1.12,22,16,14,13,12,4.7,4.7,4.9,5.1,5.1,1.5,1.5,1.5,1.5,1.5,7.4,7.4,7.4,7.4,7.5,,,
Hounslow Heath,Hounslow,81,81,82.1,83.1,83.2,27.1,27.1,27.1,25.7,25.6,344,336,349,355,348,1.62,1.57,1.65,1.21,1.35,28,23,21,20,18,3,3,3.1,3.2,3.2,3.6,3.6,3.6,3.6,3.6,7.8,7.8,7.8,7.8,7.5,,,
Hounslow South,Hounslow,83,83.5,85.2,85.2,85.4,24.1,24.1,24.1,21.9,19.8,343,360,366,369,380,0.89,0.85,1.01,1.05,1.12,12,10,11,10,8,2.4,2.4,2.4,2.4,2.5,-4.8,-4.8,-4.8,-4.8,-4.8,7.8,7.8,7.8,7.8,7.5,,,
Hounslow West,Hounslow,78.5,78.7,78.4,78.7,78.9,26.6,26.6,26.6,27.1,23.7,326,332,352,356,356,1.32,1.17,1.14,1.03,1.2,19,17,17,18,16,3.9,3.9,3.9,4,3.9,-4.8,-4.8,-4.8,-4.8,-4.8,7,7,7,7,7.5,,,
Isleworth,Hounslow,77.7,78.2,78.9,80.5,81.1,21.5,21.5,21.5,19,20.6,313,311,342,342,354,1.4,1.55,1.37,1.02,1.2,35,34,29,26,23,2,2,2.2,2.4,2.4,1.4,1.4,1.4,1.4,1.4,8,8,8,8,7.5,,,
Osterley and Spring Grove,Hounslow,81.5,81.9,82.2,82.6,83.1,18,18,18,17.7,14.7,366,361,380,369,374,0.98,0.78,0.99,0.88,0.94,16,11,10,9,9,2.8,2.8,2.9,2.9,2.8,8.8,8.8,8.8,8.8,8.8,7.6,7.6,7.6,7.6,7.5,,,
Syon,Hounslow,76.5,77.1,77.6,78.1,78,22,22,22,21.5,22.6,312,312,358,347,352,1.2,1.18,1.24,1.08,1.06,33,26,25,22,20,3.4,3.4,3.5,3.6,3.6,6.6,6.6,6.6,6.6,6.6,8,8,8,8,7.7,,,
Turnham Green,Hounslow,82.3,83.6,83.8,84.3,83.9,18.4,18.4,18.4,17.4,13.5,333,347,354,347,373,0.63,0.62,0.69,0.92,0.96,16,15,15,16,12,4.5,4.5,4.6,4.7,4.4,-1.6,-1.6,-1.6,-1.6,-1.6,7.4,7.4,7.4,7.4,7.7,,,
Abingdon,Kensington and Chelsea,84.9,85.2,84.8,85.1,85.7,24.1,24.1,24.1,23.4,22.2,373,394,376,386,405,0.76,0.75,1.01,0.99,1.28,17,15,13,11,7,6.4,6.4,6.5,6.5,6.5,2.8,2.8,2.8,2.8,2.8,7.9,7.9,7.9,7.9,7.8,,,
Brompton,Kensington and Chelsea,85.4,84.8,85.3,85.9,86,23.7,23.7,23.7,23.1,21.8,338,398,395,315,373,1.14,0.88,1.02,1.03,0.89,13,8,7,8,6,6.9,6.9,7,7,6.8,3.8,3.8,3.8,3.8,3.8,8,8,8,8,7.8,,,
Campden,Kensington and Chelsea,87.3,87.9,88.5,88.2,88.1,23.7,23.7,23.7,23.1,21.8,383,351,373,380,396,0.76,0.8,0.48,0.44,0.46,8,5,5,4,3,6.8,6.8,6.8,6.9,6.8,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.8,,,
Colville,Kensington and Chelsea,81,82.5,83.1,83.2,82.8,27.4,27.4,27.4,26.7,27.1,343,389,370,352,356,0.94,1.04,1.55,1.15,1.28,35,30,31,26,22,5.4,5.4,5.5,5.6,5.4,6.1,6.1,6.1,6.1,6.1,7.9,7.9,7.9,7.9,7.8,,,
Courtfield,Kensington and Chelsea,86.6,87.3,86.5,87.1,88.5,23.7,23.7,23.7,23.1,21.8,295,420,328,403,363,0.69,0.3,0.38,0.63,0.59,7,4,4,2,2,7,7,6.9,6.9,6.9,4.9,4.9,4.9,4.9,4.9,7.6,7.6,7.6,7.6,7.8,,,
Cremorne,Kensington and Chelsea,84.4,85.4,84.7,84.6,84.7,27.7,27.7,27.7,24.6,24,318,334,361,362,376,0.81,1,1.12,1,1.48,38,31,28,25,23,4.3,4.3,4.2,4.2,4.7,8.3,8.3,8.3,8.3,8.3,8.1,8.1,8.1,8.1,7.8,,,
Earl's Court,Kensington and Chelsea,83.7,83.5,83.3,83.3,82.2,21.7,21.7,21.7,21.1,19.4,378,356,364,388,385,0.65,0.8,0.91,0.69,0.94,26,23,24,18,14,7,7,7,7,7,-1.5,-1.5,-1.5,-1.5,-1.5,7.9,7.9,7.9,7.9,7.8,,,
Golborne,Kensington and Chelsea,83.4,83,81.7,80.5,80.2,28.2,28.2,28.2,26.5,23.8,344,343,333,354,338,1.21,0.87,1.33,1.18,1.33,51,49,43,38,32,4.3,4.3,4.3,4.4,4.5,12.6,12.6,12.6,12.6,12.6,7.9,7.9,7.9,7.9,7.8,,,
Hans Town,Kensington and Chelsea,88.5,87.5,86.6,87.1,86.6,24.7,24.7,24.7,20.6,12.3,345,351,354,368,323,1.03,1.1,1.27,0.8,0.83,22,13,13,10,9,6.9,6.9,6.8,6.8,6.6,4.5,4.5,4.5,4.5,4.5,7.4,7.4,7.4,7.4,7.8,,,
